,NAME,S0101_C01_001E
id,Geographic Area Name,Estimate!!Total!!Total population
48001,"Anderson County, Texas",57810
48003,"Andrews County, Texas",18036
48005,"Angelina County, Texas",87322
48007,"Aransas County, Texas",24462
48009,"Archer County, Texas",8716
48011,"Armstrong County, Texas",1973
48013,"Atascosa County, Texas",49528
48015,"Austin County, Texas",29764
48017,"Bailey County, Texas",7100
48019,"Bandera County, Texas",22215
48021,"Bastrop County, Texas",84522
48023,"Baylor County, Texas",3577
48025,"Bee County, Texas",32611
48027,"Bell County, Texas",348574
48029,"Bexar County, Texas",1952843
48031,"Blanco County, Texas",11478
48033,"Borden County, Texas",613
48035,"Bosque County, Texas",18296
48037,"Bowie County, Texas",93373
48039,"Brazoria County, Texas",360677
48041,"Brazos County, Texas",222981
48043,"Brewster County, Texas",9231
48045,"Briscoe County, Texas",1457
48047,"Brooks County, Texas",7141
48049,"Brown County, Texas",37855
48051,"Burleson County, Texas",18058
48053,"Burnet County, Texas",46530
48055,"Caldwell County, Texas",42144
48057,"Calhoun County, Texas",21668
48059,"Callahan County, Texas",13856
48061,"Cameron County, Texas",421666
48063,"Camp County, Texas",12878
48065,"Carson County, Texas",6009
48067,"Cass County, Texas",30059
48069,"Castro County, Texas",7673
48071,"Chambers County, Texas",41305
48073,"Cherokee County, Texas",52118
48075,"Childress County, Texas",7253
48077,"Clay County, Texas",10403
48079,"Cochran County, Texas",2887
48081,"Coke County, Texas",3303
48083,"Coleman County, Texas",8334
48085,"Collin County, Texas",973977
48087,"Collingsworth County, Texas",2969
48089,"Colorado County, Texas",21224
48091,"Comal County, Texas",141642
48093,"Comanche County, Texas",13529
48095,"Concho County, Texas",3266
48097,"Cooke County, Texas",40041
48099,"Coryell County, Texas",75280
48101,"Cottle County, Texas",1642
48103,"Crane County, Texas",4802
48105,"Crockett County, Texas",3484
48107,"Crosby County, Texas",5836
48109,"Culberson County, Texas",2214
48111,"Dallam County, Texas",7304
48113,"Dallas County, Texas",2606868
48115,"Dawson County, Texas",12813
48117,"Deaf Smith County, Texas",18736
48119,"Delta County, Texas",5249
48121,"Denton County, Texas",833822
48123,"DeWitt County, Texas",20340
48125,"Dickens County, Texas",2203
48127,"Dimmit County, Texas",10438
48129,"Donley County, Texas",3342
48131,"Duval County, Texas",11268
48133,"Eastland County, Texas",18273
48135,"Ector County, Texas",160579
48137,"Edwards County, Texas",1918
48139,"Ellis County, Texas",173772
48141,"El Paso County, Texas",836062
48143,"Erath County, Texas",41841
48145,"Falls County, Texas",17272
48147,"Fannin County, Texas",34537
48149,"Fayette County, Texas",25141
48151,"Fisher County, Texas",3856
48153,"Floyd County, Texas",5803
48155,"Foard County, Texas",1275
48157,"Fort Bend County, Texas",765394
48159,"Franklin County, Texas",10716
48161,"Freestone County, Texas",19714
48163,"Frio County, Texas",19871
48165,"Gaines County, Texas",20706
48167,"Galveston County, Texas",332885
48169,"Garza County, Texas",6070
48171,"Gillespie County, Texas",26459
48173,"Glasscock County, Texas",1510
48175,"Goliad County, Texas",7565
48177,"Gonzales County, Texas",20731
48179,"Gray County, Texas",22410
48181,"Grayson County, Texas",131014
48183,"Gregg County, Texas",123443
48185,"Grimes County, Texas",27984
48187,"Guadalupe County, Texas",158966
48189,"Hale County, Texas",33826
48191,"Hall County, Texas",3048
48193,"Hamilton County, Texas",8332
48195,"Hansford County, Texas",5520
48197,"Hardeman County, Texas",3945
48199,"Hardin County, Texas",56765
48201,"Harris County, Texas",4646630
48203,"Harrison County, Texas",66580
48205,"Hartley County, Texas",5669
48207,"Haskell County, Texas",5726
48209,"Hays County, Texas",213366
48211,"Hemphill County, Texas",3994
48213,"Henderson County, Texas",81070
48215,"Hidalgo County, Texas",855176
48217,"Hill County, Texas",35689
48219,"Hockley County, Texas",23064
48221,"Hood County, Texas",58318
48223,"Hopkins County, Texas",36486
48225,"Houston County, Texas",22954
48227,"Howard County, Texas",36349
48229,"Hudspeth County, Texas",4415
48231,"Hunt County, Texas",94162
48233,"Hutchinson County, Texas",21344
48235,"Irion County, Texas",1620
48237,"Jack County, Texas",8852
48239,"Jackson County, Texas",14816
48241,"Jasper County, Texas",35506
48243,"Jeff Davis County, Texas",2241
48245,"Jefferson County, Texas",254340
48247,"Jim Hogg County, Texas",5231
48249,"Jim Wells County, Texas",40972
48251,"Johnson County, Texas",167212
48253,"Jones County, Texas",19943
48255,"Karnes County, Texas",15545
48257,"Kaufman County, Texas",123804
48259,"Kendall County, Texas",43769
48261,"Kenedy County, Texas",568
48263,"Kent County, Texas",647
48265,"Kerr County, Texas",51843
48267,"Kimble County, Texas",4373
48269,"King County, Texas",237
48271,"Kinney County, Texas",3659
48273,"Kleberg County, Texas",30974
48275,"Knox County, Texas",3705
48277,"Lamar County, Texas",49611
48279,"Lamb County, Texas",13123
48281,"Lampasas County, Texas",20862
48283,"La Salle County, Texas",7416
48285,"Lavaca County, Texas",20021
48287,"Lee County, Texas",17058
48289,"Leon County, Texas",17225
48291,"Liberty County, Texas",83702
48293,"Limestone County, Texas",23417
48295,"Lipscomb County, Texas",3398
48297,"Live Oak County, Texas",12139
48299,"Llano County, Texas",21047
48301,"Loving County, Texas",98
48303,"Lubbock County, Texas",304808
48305,"Lynn County, Texas",5830
48307,"McCulloch County, Texas",8057
48309,"McLennan County, Texas",251089
48311,"McMullen County, Texas",774
48313,"Madison County, Texas",14197
48315,"Marion County, Texas",10017
48317,"Martin County, Texas",5649
48319,"Mason County, Texas",4186
48321,"Matagorda County, Texas",36774
48323,"Maverick County, Texas",58174
48325,"Medina County, Texas",50057
48327,"Menard County, Texas",2119
48329,"Midland County, Texas",168167
48331,"Milam County, Texas",24770
48333,"Mills County, Texas",4889
48335,"Mitchell County, Texas",8523
48337,"Montague County, Texas",19489
48339,"Montgomery County, Texas",571949
48341,"Moore County, Texas",21399
48343,"Morris County, Texas",12373
48345,"Motley County, Texas",1252
48347,"Nacogdoches County, Texas",65339
48349,"Navarro County, Texas",48995
48351,"Newton County, Texas",13914
48353,"Nolan County, Texas",14904
48355,"Nueces County, Texas",361540
48357,"Ochiltree County, Texas",10131
48359,"Oldham County, Texas",2094
48361,"Orange County, Texas",84069
48363,"Palo Pinto County, Texas",28540
48365,"Panola County, Texas",23327
48367,"Parker County, Texas",133811
48369,"Parmer County, Texas",9718
48371,"Pecos County, Texas",15815
48373,"Polk County, Texas",48913
48375,"Potter County, Texas",119674
48377,"Presidio County, Texas",6975
48379,"Rains County, Texas",11766
48381,"Randall County, Texas",134026
48383,"Reagan County, Texas",3766
48385,"Real County, Texas",3408
48387,"Red River County, Texas",12171
48389,"Reeves County, Texas",15492
48391,"Refugio County, Texas",7145
48393,"Roberts County, Texas",805
48395,"Robertson County, Texas",16990
48397,"Rockwall County, Texas",97175
48399,"Runnels County, Texas",10277
48401,"Rusk County, Texas",53755
48403,"Sabine County, Texas",10471
48405,"San Augustine County, Texas",8286
48407,"San Jacinto County, Texas",28180
48409,"San Patricio County, Texas",67008
48411,"San Saba County, Texas",5991
48413,"Schleicher County, Texas",2983
48415,"Scurry County, Texas",17096
48417,"Shackelford County, Texas",3296
48419,"Shelby County, Texas",25349
48421,"Sherman County, Texas",3059
48423,"Smith County, Texas",227449
48425,"Somervell County, Texas",8860
48427,"Starr County, Texas",64078
48429,"Stephens County, Texas",9364
48431,"Sterling County, Texas",1231
48433,"Stonewall County, Texas",1476
48435,"Sutton County, Texas",3824
48437,"Swisher County, Texas",7432
48439,"Tarrant County, Texas",2049770
48441,"Taylor County, Texas",136870
48443,"Terrell County, Texas",896
48445,"Terry County, Texas",12528
48447,"Throckmorton County, Texas",1436
48449,"Titus County, Texas",32640
48451,"Tom Green County, Texas",117986
48453,"Travis County, Texas",1226805
48455,"Trinity County, Texas",14620
48457,"Tyler County, Texas",21518
48459,"Upshur County, Texas",41018
48461,"Upton County, Texas",3659
48463,"Uvalde County, Texas",26920
48465,"Val Verde County, Texas",48969
48467,"Van Zandt County, Texas",55103
48469,"Victoria County, Texas",92109
48471,"Walker County, Texas",72321
48473,"Waller County, Texas",51832
48475,"Ward County, Texas",11658
48477,"Washington County, Texas",35163
48479,"Webb County, Texas",273526
48481,"Wharton County, Texas",41577
48483,"Wheeler County, Texas",5338
48485,"Wichita County, Texas",131596
48487,"Wilbarger County, Texas",12833
48489,"Willacy County, Texas",21588
48491,"Williamson County, Texas",547604
48493,"Wilson County, Texas",49173
48495,"Winkler County, Texas",7867
48497,"Wise County, Texas",66290
48499,"Wood County, Texas",44366
48501,"Yoakum County, Texas",8631
48503,"Young County, Texas",18036
48505,"Zapata County, Texas",14304
48507,"Zavala County, Texas",12039
